Stream Name,Supply,Target,Cp,U
Heated Methanol,43.07,250,24.807,1
Cooled Product,363.4,89,14.101,2
Feed To Column-2,156.8,139,10.326,1
Cooled Water Stream,165.3,30,3.42,1
DME Final Prouct,45.9,30,4.525,2
T-100 Condenser,45.9,45.8,20008.333,1
T-100 Reboiler,165.7,165.8,15538.889,1
T-101 Reboiler,165.3,165.4,23491.667,1
T-101 Condenser,126,125.9,22375,1
HU,184,183.9,35612.9,1
CU,5,15,335.121,1
